"","AICc","dAICc","df"
"Negative_Exponential.Quadratic",-1910.32174927222,0,7
"Negative_Exponential.Linear_Negative",-1321.93476305563,588.386986216591,6
"Linear.Quadratic",-17.8817475160366,1892.44000175618,6
"No_effect.Quadratic",-16.755703239424,1893.56604603279,5
"Positive_Exponential.Quadratic",-15.015356910154,1895.30639236206,7
"No_effect.Linear_Negative",8.48434729238235,1918.8060965646,4
"Linear.Linear_Negative",16.8023699466626,1927.12411921888,5
"Positive_Exponential.Linear_Negative",19.4319614429935,1929.75371071521,6
"Negative_Exponential.Constant",87.0270122417717,1997.34876151399,5
"Negative_Exponential.Linear_Positive",89.7603455735026,2000.08209484572,6
"Linear.Constant",89.9661769897387,2000.28792626196,4
"No_effect.Constant",90.3518565091041,2000.67360578132,3
"Linear.Linear_Positive",92.5517625756859,2002.8735118479,5
"Positive_Exponential.Constant",92.5532507970279,2002.87500006925,5
"No_effect.Linear_Positive",92.8013586432362,2003.12310791545,4
"Positive_Exponential.Linear_Positive",95.2865841307229,2005.60833340294,6
"HOF_(Sigmoid).Quadratic",418.381636099182,2328.7033853714,8
"HOF_(Sigmoid).Linear_Positive",425.898209461406,2336.21995873362,7
"Asymetric_Bell-Shaped.Quadratic",457.990244036172,2368.31199330839,9
"Asymetric_Bell-Shaped.Linear_Positive",491.081815126415,2401.40356439863,8
"HOF_(Sigmoid).Constant",491.485487458276,2401.80723673049,6
"HOF_(Sigmoid).Linear_Negative",494.379605105158,2404.70135437738,7
"Asymetric_Bell-Shaped.Constant",506.298260349765,2416.62000962198,7
"Asymetric_Bell-Shaped.Linear_Negative",509.367772966053,2419.68952223827,8
