"","AICc","dAICc","df"
"Positive_Exponential.Quadratic",227.103832809003,0,7
"Linear.Linear_Positive",227.771235572826,0.66740276382356,5
"Positive_Exponential.Linear_Positive",228.170136251488,1.06630344248566,6
"Linear.Quadratic",228.404053707723,1.30022089872037,6
"Negative_Exponential.Linear_Positive",230.524107254705,3.42027444570226,6
"Negative_Exponential.Quadratic",231.328084804721,4.22425199571816,7
"Linear.Constant",240.103698622277,12.9998658132746,4
"Positive_Exponential.Constant",241.861506309858,14.7576735008557,5
"Linear.Linear_Negative",242.689284207697,15.5854513986944,5
"Negative_Exponential.Constant",242.698996419625,15.5951636106228,5
"Positive_Exponential.Linear_Negative",244.594839643026,17.4910068340237,6
"Negative_Exponential.Linear_Negative",245.432329752793,18.3284969437904,6
"No_effect.Linear_Positive",251.522687545953,24.4188547369507,4
"No_effect.Quadratic",253.264353600612,26.1605207916094,5
"No_effect.Constant",254.005293710864,26.9014609018615,3
"No_effect.Linear_Negative",256.454795844415,29.3509630354121,4
"HOF_(Sigmoid).Quadratic",403.088334582874,175.984501773871,8
"HOF_(Sigmoid).Linear_Positive",416.56730792775,189.463475118747,7
"Asymetric_Bell-Shaped.Quadratic",446.993129219979,219.889296410977,9
"HOF_(Sigmoid).Constant",486.039047190046,258.935214381043,6
"Asymetric_Bell-Shaped.Linear_Positive",487.970559137292,260.86672632829,8
"HOF_(Sigmoid).Linear_Negative",488.933164836886,261.829332027883,7
"Asymetric_Bell-Shaped.Constant",501.743741835557,274.639909026555,7
"Asymetric_Bell-Shaped.Linear_Negative",504.813256571546,277.709423762544,8
