"","AICc","dAICc","df"
"Linear.Quadratic",-9.30395497358859,0,6
"Linear.Linear_Negative",16.1152817330304,25.419236706619,5
"Positive_Exponential.Linear_Negative",46.0815644179519,55.3855193915405,6
"Positive_Exponential.Quadratic",46.3520758726147,55.6560308462033,7
"No_effect.Quadratic",55.1129662874234,64.416921261012,5
"No_effect.Linear_Negative",58.8130724407195,68.1170274143081,4
"Negative_Exponential.Quadratic",61.7623101877515,71.0662651613401,7
"Negative_Exponential.Linear_Negative",68.2116280519831,77.5155830255717,6
"No_effect.Constant",97.8234453346471,107.127400308236,3
"Linear.Constant",99.8553633776351,109.159318351224,4
"No_effect.Linear_Positive",100.272947468359,109.576902441947,4
"Positive_Exponential.Constant",102.261258912779,111.565213886368,5
"Linear.Linear_Positive",102.440948963218,111.744903936807,5
"Negative_Exponential.Constant",102.700975101151,112.004930074739,5
"Positive_Exponential.Linear_Positive",104.994592246104,114.298547219693,6
"Negative_Exponential.Linear_Positive",105.434308434477,114.738263408066,6
"HOF_(Sigmoid).Quadratic",221.930284003111,231.234238976699,8
"HOF_(Sigmoid).Linear_Positive",394.921443999093,404.225398972682,7
"Asymetric_Bell-Shaped.Quadratic",412.126305961627,421.430260935216,9
"Asymetric_Bell-Shaped.Linear_Positive",490.707287500235,500.011242473823,8
"HOF_(Sigmoid).Constant",491.486190487282,500.790145460871,6
"HOF_(Sigmoid).Linear_Negative",494.380308134168,503.684263107757,7
"Asymetric_Bell-Shaped.Constant",506.227938632354,515.531893605943,7
"Asymetric_Bell-Shaped.Linear_Negative",509.297450895881,518.60140586947,8
