"","AICc","dAICc","df"
"Asymetric_Bell-Shaped.Quadratic",379.774552078099,0,9
"Positive_Exponential.Quadratic",381.452450140546,1.67789806244673,7
"Linear.Quadratic",382.762869553661,2.98831747556193,6
"No_effect.Quadratic",385.186258060882,5.41170598278319,5
"HOF_(Sigmoid).Quadratic",385.355661654874,5.58110957677519,8
"Negative_Exponential.Quadratic",385.827902871283,6.05335079318405,7
"No_effect.Constant",405.224717239107,25.4501651610081,3
"No_effect.Linear_Negative",406.006412091101,26.2318600130019,4
"Linear.Linear_Negative",407.37199562116,27.5974435430612,5
"Linear.Constant",407.46699731034,27.6924452322412,4
"No_effect.Linear_Positive",407.747444493874,27.9728924157744,4
"Positive_Exponential.Linear_Negative",409.303318621127,29.5287665430282,6
"Positive_Exponential.Constant",409.559357143726,29.7848050656264,5
"Linear.Linear_Positive",410.152481163376,30.3779290852764,5
"Negative_Exponential.Constant",410.152551609017,30.3779995309179,5
"Negative_Exponential.Linear_Negative",410.23691451824,30.4623624401407,6
"HOF_(Sigmoid).Linear_Negative",411.717343402795,31.9427913246959,7
"Asymetric_Bell-Shaped.Constant",411.748832980415,31.9742809023154,7
"HOF_(Sigmoid).Constant",411.83878549401,32.0642334159112,6
"Positive_Exponential.Linear_Positive",412.423873254873,32.649321176774,6
"Asymetric_Bell-Shaped.Linear_Negative",412.53551593754,32.7609638594411,8
"Negative_Exponential.Linear_Positive",413.017067720117,33.2425156420177,6
"HOF_(Sigmoid).Linear_Positive",414.900854441693,35.1263023635934,7
"Asymetric_Bell-Shaped.Linear_Positive",415.029621140179,35.2550690620794,8
