"","AICc","dAICc","df"
"HOF_(Sigmoid).Quadratic",481.356789072644,0,8
"HOF_(Sigmoid).Linear_Positive",485.431450746334,4.0746616736908,7
"Asymetric_Bell-Shaped.Quadratic",485.531581252972,4.17479218032815,9
"Negative_Exponential.Quadratic",494.916879607543,13.560090534899,7
"Asymetric_Bell-Shaped.Linear_Positive",495.952140157189,14.5953510845457,8
"HOF_(Sigmoid).Constant",496.915307757259,15.5585186846155,6
"Negative_Exponential.Linear_Positive",499.749727200945,18.3929381283011,6
"HOF_(Sigmoid).Linear_Negative",499.809425394138,18.4526363214943,7
"Linear.Quadratic",501.284708084794,19.9279190121505,6
"Linear.Linear_Positive",501.677850301018,20.3210612283742,5
"Negative_Exponential.Constant",502.303458006915,20.946668934271,5
"Asymetric_Bell-Shaped.Constant",502.369052437593,21.0122633649489,7
"Positive_Exponential.Quadratic",504.209067804218,22.8522787315746,7
"Positive_Exponential.Linear_Positive",504.430181077436,23.0733920047921,6
"Linear.Constant",504.691514872254,23.3347257996103,4
"Negative_Exponential.Linear_Negative",505.036791329959,23.6800022573149,6
"Asymetric_Bell-Shaped.Linear_Negative",505.438571144017,24.0817820713737,8
"Linear.Linear_Negative",507.277100447459,25.9203113748154,5
"Positive_Exponential.Constant",507.285228335385,25.9284392627418,5
"Positive_Exponential.Linear_Negative",510.018561658338,28.6617725856945,6
"No_effect.Constant",515.733555975241,34.3767669025968,3
"No_effect.Linear_Negative",518.070666617114,36.7138775444706,4
"No_effect.Linear_Positive",518.183058098519,36.8262690258754,4
"No_effect.Quadratic",520.759114277304,39.4023252046604,5
