"","AICc","dAICc","df"
"Negative_Exponential.Quadratic",463.23438889293,0,7
"Asymetric_Bell-Shaped.Quadratic",470.229059016819,6.99467012388982,9
"HOF_(Sigmoid).Quadratic",483.714206148778,20.479817255848,8
"Negative_Exponential.Linear_Positive",495.298421188646,32.0640322957161,6
"Negative_Exponential.Constant",495.356406470219,32.1220175772897,5
"Linear.Quadratic",497.180435487418,33.946046594488,6
"Negative_Exponential.Linear_Negative",498.089739793444,34.8553509005141,6
"Linear.Constant",498.281679169799,35.0472902768693,4
"HOF_(Sigmoid).Constant",498.661693110333,35.4273042174034,6
"HOF_(Sigmoid).Linear_Positive",499.352026703361,36.1176378104315,7
"Positive_Exponential.Quadratic",500.09298674166,36.8585978487299,7
"Linear.Linear_Positive",500.569607184908,37.3352182919788,5
"Linear.Linear_Negative",500.8672647452,37.6328758522705,5
"Positive_Exponential.Constant",500.873997740358,37.6396088474288,5
"Asymetric_Bell-Shaped.Constant",501.022628829473,37.7882399365436,7
"Asymetric_Bell-Shaped.Linear_Positive",501.291884915144,38.0574960222149,8
"HOF_(Sigmoid).Linear_Negative",501.555810747776,38.3214218548461,7
"Positive_Exponential.Linear_Positive",503.311591646182,40.0772027532524,6
"Positive_Exponential.Linear_Negative",503.607331063507,40.3729421705776,6
"Asymetric_Bell-Shaped.Linear_Negative",504.092147535941,40.8577586430113,8
"No_effect.Constant",508.96444940288,45.7300605099504,3
"No_effect.Linear_Negative",510.235781244924,47.0013923519945,4
"No_effect.Linear_Positive",511.413951526285,48.1795626333553,4
"No_effect.Quadratic",512.696743340807,49.4623544478776,5
