"","AICc","dAICc","df"
"Linear.Quadratic",38.466270130373,0,6
"Linear.Linear_Negative",63.8854996577428,25.4192295273698,5
"Positive_Exponential.Linear_Negative",93.8526617190635,55.3863915886905,6
"Positive_Exponential.Quadratic",94.1231905102415,55.6569203798685,7
"No_effect.Quadratic",102.88317879869,64.4169086683175,5
"No_effect.Linear_Negative",106.583284951989,68.1170148216159,4
"Negative_Exponential.Quadratic",109.532540223282,71.0662700929086,7
"Negative_Exponential.Linear_Negative",115.981789320353,77.5155191899798,6
"No_effect.Constant",145.593657847002,107.127387716629,3
"Linear.Constant",147.625575889993,109.15930575962,4
"No_effect.Linear_Positive",148.043159979628,109.576889849255,4
"Positive_Exponential.Constant",150.031471424663,111.56520129429,5
"Linear.Linear_Positive",150.211161474488,111.744891344115,5
"Negative_Exponential.Constant",150.471187611177,112.004917480804,5
"Positive_Exponential.Linear_Positive",152.764804756899,114.298534626526,6
"Negative_Exponential.Linear_Positive",153.204520943417,114.738250813044,6
"HOF_(Sigmoid).Quadratic",255.533520621472,217.067250491099,8
"HOF_(Sigmoid).Linear_Positive",403.278531897696,364.812261767323,7
"Asymetric_Bell-Shaped.Quadratic",411.218415779289,372.752145648916,9
"Asymetric_Bell-Shaped.Linear_Positive",490.488099848671,452.021829718298,8
"HOF_(Sigmoid).Constant",491.495500193739,453.029230063366,6
"HOF_(Sigmoid).Linear_Negative",494.389617840575,455.923347710202,7
"Asymetric_Bell-Shaped.Constant",506.180618478673,467.7143483483,7
"Asymetric_Bell-Shaped.Linear_Negative",509.250131114064,470.783860983691,8
