"","AICc","dAICc","df"
"HOF_(Sigmoid).Quadratic",-Inf,NA,8
"HOF_(Sigmoid).Linear_Negative",-145.600617273971,Inf,7
"Asymetric_Bell-Shaped.Quadratic",32.5110456699655,Inf,9
"Asymetric_Bell-Shaped.Linear_Negative",33.8086205548564,Inf,8
"Negative_Exponential.Quadratic",95.1685857875892,Inf,7
"Negative_Exponential.Linear_Negative",95.9780486056375,Inf,6
"Linear.Quadratic",141.020939667359,Inf,6
"Linear.Linear_Negative",142.758208104291,Inf,5
"Positive_Exponential.Quadratic",143.743695198144,Inf,7
"Positive_Exponential.Linear_Negative",145.233439433026,Inf,6
"No_effect.Linear_Negative",156.731198308307,Inf,4
"No_effect.Quadratic",156.941778108183,Inf,5
"HOF_(Sigmoid).Constant",181.840957301594,Inf,6
"Negative_Exponential.Constant",182.286371487531,Inf,5
"Linear.Constant",182.415032527688,Inf,4
"HOF_(Sigmoid).Linear_Positive",184.735074948994,Inf,7
"Linear.Linear_Positive",185.000618113555,Inf,5
"Positive_Exponential.Constant",185.003954847368,Inf,5
"Negative_Exponential.Linear_Positive",185.019704821165,Inf,6
"Asymetric_Bell-Shaped.Constant",187.371857630632,Inf,7
"Positive_Exponential.Linear_Positive",187.737288180982,Inf,6
"No_effect.Constant",188.983294750382,Inf,3
"Asymetric_Bell-Shaped.Linear_Positive",190.441376347523,Inf,8
"No_effect.Linear_Positive",191.432796884294,Inf,4
