"","AICc","dAICc","df"
"Linear.Quadratic",421.014239537123,0,6
"Positive_Exponential.Quadratic",424.121743936573,3.10750439944968,7
"Negative_Exponential.Quadratic",428.460385022728,7.4461454856048,7
"HOF_(Sigmoid).Quadratic",439.697885783561,18.6836462464379,8
"Asymetric_Bell-Shaped.Quadratic",443.033760900001,22.0195213628776,9
"Linear.Linear_Positive",460.528839328985,39.5145997918615,5
"HOF_(Sigmoid).Linear_Positive",461.653592039591,40.6393525024681,7
"Positive_Exponential.Linear_Positive",463.271135721626,42.2568961845023,6
"Negative_Exponential.Linear_Positive",463.442160875329,42.4279213382063,6
"Asymetric_Bell-Shaped.Linear_Positive",464.328507897178,43.3142683600549,8
"Linear.Constant",464.332206955944,43.3179674188204,4
"No_effect.Quadratic",465.039714433123,44.0254748959995,5
"HOF_(Sigmoid).Constant",465.997894518514,44.9836549813911,6
"Negative_Exponential.Constant",466.753883831263,45.73964429414,5
"Linear.Linear_Negative",466.917792532222,45.9035529950992,5
"Positive_Exponential.Constant",466.920518665582,45.9062791284589,5
"No_effect.Constant",467.475075112325,46.4608355752023,3
"HOF_(Sigmoid).Linear_Negative",468.892012156398,47.8777726192747,7
"No_effect.Linear_Positive",469.041571955779,48.0273324186555,4
"Asymetric_Bell-Shaped.Constant",469.306461852042,48.2922223149183,7
"Negative_Exponential.Linear_Negative",469.487217155296,48.4729776181728,6
"Positive_Exponential.Linear_Negative",469.653851989622,48.6396124524983,6
"No_effect.Linear_Negative",469.924577236605,48.910337699482,4
"Asymetric_Bell-Shaped.Linear_Negative",472.37598055942,51.3617410222968,8
