"","AICc","dAICc","df"
"No_effect.Quadratic",225.213432005613,0,5
"Asymetric_Bell-Shaped.Quadratic",225.546063706298,0.332631700685624,9
"Negative_Exponential.Quadratic",227.239541546815,2.02610954120203,7
"Linear.Quadratic",228.15011834969,2.93668634407783,6
"No_effect.Linear_Positive",229.449927219122,4.23649521350944,4
"Positive_Exponential.Quadratic",230.246500772818,5.03306876720549,7
"Linear.Linear_Positive",232.208249619673,6.99481761406065,5
"Negative_Exponential.Linear_Positive",232.421742377068,7.20831037145513,6
"HOF_(Sigmoid).Quadratic",233.910401702582,8.69696969696972,8
"Positive_Exponential.Linear_Positive",235.870236552553,10.6568045469399,6
"Asymetric_Bell-Shaped.Linear_Positive",236.482926886347,11.2694948807339,8
"HOF_(Sigmoid).Linear_Positive",237.6629637851,12.4495317794872,7
"No_effect.Constant",240.101297654009,14.8878656483969,3
"Linear.Constant",242.549488819731,17.336056814118,4
"No_effect.Linear_Negative",242.550799787599,17.3373677819861,4
"Positive_Exponential.Constant",244.31512798468,19.101695979067,5
"Asymetric_Bell-Shaped.Constant",244.399208175814,19.1857761702016,7
"Negative_Exponential.Constant",244.860054806218,19.6466228006055,5
"Linear.Linear_Negative",245.135074405193,19.9216423995806,5
"Positive_Exponential.Linear_Negative",247.048461317922,21.835029312309,6
"Asymetric_Bell-Shaped.Linear_Negative",247.468726892278,22.2552948866658,8
"Negative_Exponential.Linear_Negative",247.593388139424,22.3799561338111,6
"HOF_(Sigmoid).Constant",247.869718706641,22.6562867010284,6
"HOF_(Sigmoid).Linear_Negative",250.763836353576,25.5504043479638,7
