"","AICc","dAICc","df"
"No_effect.Quadratic",139.1011822298,0,5
"No_effect.Linear_Positive",140.728080119365,1.62689788956541,4
"Asymetric_Bell-Shaped.Quadratic",141.311779490247,2.21059726044737,9
"Linear.Quadratic",142.361816172684,3.26063394288443,6
"Linear.Linear_Positive",143.078457569378,3.97727533957763,5
"Positive_Exponential.Quadratic",145.385209428757,6.28402719895661,7
"Negative_Exponential.Quadratic",145.563467103732,6.46228487393148,7
"Positive_Exponential.Linear_Positive",145.913202573433,6.81202034363261,6
"Negative_Exponential.Linear_Positive",146.076678259971,6.9754960301712,6
"HOF_(Sigmoid).Linear_Positive",147.798481843022,8.69729961322162,7
"Asymetric_Bell-Shaped.Linear_Positive",148.237834621387,9.13665239158718,8
"HOF_(Sigmoid).Quadratic",149.500157990149,10.3989757603494,8
"No_effect.Constant",153.226051539554,14.1248693097542,3
"Linear.Constant",155.696443834727,16.5952616049275,4
"No_effect.Linear_Negative",155.732290398625,16.6311081688249,4
"Asymetric_Bell-Shaped.Constant",156.298242152498,17.1970599226985,7
"Negative_Exponential.Constant",158.319166196498,19.2179839666979,5
"Linear.Linear_Negative",158.359322622496,19.2581403926955,5
"Positive_Exponential.Constant",158.35934134649,19.2581591166904,5
"Asymetric_Bell-Shaped.Linear_Negative",159.530426060421,20.4292438306209,8
"HOF_(Sigmoid).Constant",160.313744686462,21.2125624566618,6
"Negative_Exponential.Linear_Negative",161.153843615742,22.0526613859424,6
"Positive_Exponential.Linear_Negative",161.194018765735,22.0928365359345,6
"HOF_(Sigmoid).Linear_Negative",163.337400600309,24.236218370509,7
