"","AICc","dAICc","df"
"Negative_Exponential.Quadratic",492.341201819072,0,7
"Asymetric_Bell-Shaped.Quadratic",496.120591832963,3.77939001389137,9
"Negative_Exponential.Linear_Positive",498.888018283205,6.54681646413292,6
"HOF_(Sigmoid).Quadratic",500.320240080973,7.97903826190156,8
"HOF_(Sigmoid).Linear_Positive",502.657930967084,10.3167291480126,7
"Asymetric_Bell-Shaped.Linear_Positive",503.068042402178,10.7268405831061,8
"Negative_Exponential.Constant",503.568235448414,11.2270336293427,5
"Asymetric_Bell-Shaped.Constant",503.886264383055,11.5450625639829,7
"Linear.Linear_Positive",505.653114737011,13.3119129179397,5
"HOF_(Sigmoid).Constant",506.175150207175,13.8339483881037,6
"Negative_Exponential.Linear_Negative",506.301568771422,13.9603669523506,6
"Asymetric_Bell-Shaped.Linear_Negative",506.955783089493,14.6145812704209,8
"Linear.Constant",507.440490756352,15.0992889372803,4
"Linear.Quadratic",508.159969756051,15.8187679369789,6
"Positive_Exponential.Linear_Positive",508.42412028184,16.0829184627685,6
"HOF_(Sigmoid).Linear_Negative",509.069267844263,16.7280660251917,7
"Linear.Linear_Negative",510.026076331519,17.6848745124469,5
"Positive_Exponential.Constant",510.033375910508,17.6921740914362,5
"Positive_Exponential.Quadratic",511.083574412252,18.7423725931799,7
"Positive_Exponential.Linear_Negative",512.766709233447,20.4255074143752,6
"No_effect.Constant",518.405038592475,26.063836773403,3
"No_effect.Linear_Negative",520.659642366753,28.3184405476814,4
"No_effect.Linear_Positive",520.854540715731,28.5133388966588,4
"No_effect.Quadratic",523.43987414191,31.0986723228378,5
