"","AICc","dAICc","df"
"HOF_(Sigmoid).Linear_Positive",-159.982557079745,0,7
"Asymetric_Bell-Shaped.Quadratic",73.3046468631252,233.287203942871,9
"Asymetric_Bell-Shaped.Linear_Positive",88.3600959579506,248.342653037696,8
"Linear.Quadratic",96.5789862782086,256.561543357954,6
"Positive_Exponential.Quadratic",99.1413123598187,259.123869439564,7
"Negative_Exponential.Quadratic",103.137197170968,263.119754250714,7
"Linear.Linear_Positive",105.966594843109,265.949151922854,5
"Positive_Exponential.Linear_Positive",108.565420021117,268.547977100862,6
"Negative_Exponential.Linear_Positive",110.270021827689,270.252578907434,6
"No_effect.Linear_Positive",127.759331054439,287.741888134184,4
"No_effect.Quadratic",129.511888780578,289.494445860323,5
"Linear.Constant",134.131032515193,294.113589594939,4
"HOF_(Sigmoid).Constant",135.780481202664,295.763038282409,6
"No_effect.Constant",136.430366369574,296.41292344932,3
"Negative_Exponential.Constant",136.708136202175,296.69069328192,5
"Linear.Linear_Negative",136.7166181004,296.699175180145,5
"Positive_Exponential.Constant",136.717952446089,296.700509525834,5
"HOF_(Sigmoid).Linear_Negative",138.67459884904,298.657155928786,7
"Asymetric_Bell-Shaped.Constant",138.815624090776,298.798181170522,7
"No_effect.Linear_Negative",138.879868502811,298.862425582557,4
"Negative_Exponential.Linear_Negative",139.44146953513,299.424026614875,6
"Positive_Exponential.Linear_Negative",139.451285779043,299.433842858788,6
"Asymetric_Bell-Shaped.Linear_Negative",141.885142806644,301.86769988639,8
"HOF_(Sigmoid).Quadratic",5.55469002812144e+25,5.55469002812144e+25,8
