"","AICc","dAICc","df"
"Positive_Exponential.Quadratic",93.4019788740065,0,7
"Asymetric_Bell-Shaped.Quadratic",123.408204683817,30.0062258098103,9
"Positive_Exponential.Linear_Positive",147.653887626079,54.2519087520728,6
"Asymetric_Bell-Shaped.Linear_Positive",170.347839504825,76.9458606308188,8
"Linear.Quadratic",191.643861315804,98.2418824417977,6
"Negative_Exponential.Quadratic",194.141915979683,100.739937105676,7
"No_effect.Quadratic",198.311526087844,104.909547213837,5
"No_effect.Linear_Positive",225.225117666896,131.82313879289,4
"Linear.Linear_Positive",235.845550126169,142.443571252163,5
"Negative_Exponential.Linear_Positive",238.552791112187,145.150812238181,6
"Positive_Exponential.Constant",288.860029822306,195.4580509483,5
"Positive_Exponential.Linear_Negative",291.616332342823,198.214353468817,6
"Linear.Constant",298.882807343937,205.480828469931,4
"No_effect.Constant",298.928283208116,205.526304334109,3
"No_effect.Linear_Negative",301.390745670191,207.988766796185,4
"Linear.Linear_Negative",301.485981946726,208.084003072719,5
"Negative_Exponential.Constant",301.487414543546,208.08543566954,5
"Asymetric_Bell-Shaped.Constant",301.873007404647,208.471028530641,7
"Negative_Exponential.Linear_Negative",304.243717064168,210.841738190162,6
"Asymetric_Bell-Shaped.Linear_Negative",304.97906801036,211.577089136353,8
"HOF_(Sigmoid).Linear_Negative",459.126217833984,365.724238959978,7
"HOF_(Sigmoid).Quadratic",461.748959154096,368.346980280089,8
"HOF_(Sigmoid).Constant",482.033614309579,388.631635435572,6
"HOF_(Sigmoid).Linear_Positive",484.956965468428,391.554986594421,7
