"","AICc","dAICc","df"
"Negative_Exponential.Quadratic",358.621414177014,0,7
"HOF_(Sigmoid).Quadratic",361.690932882553,3.06951870553934,8
"Asymetric_Bell-Shaped.Quadratic",366.972758667087,8.35134449007302,9
"No_effect.Quadratic",370.054251344882,11.4328371678682,5
"Negative_Exponential.Linear_Negative",376.433102410196,17.8116882331818,6
"HOF_(Sigmoid).Linear_Negative",379.327220203661,20.7058060266477,7
"No_effect.Linear_Negative",384.266435994507,25.6450218174937,4
"Asymetric_Bell-Shaped.Linear_Negative",384.989636868754,26.3682226917402,8
"Linear.Linear_Negative",389.327214930793,30.7058007537797,5
"Positive_Exponential.Linear_Negative",391.951826716012,33.3304125389986,6
"Linear.Quadratic",406.763861724899,48.1424475478854,6
"Negative_Exponential.Constant",407.26070959812,48.6392954211063,5
"Positive_Exponential.Quadratic",409.574511233281,50.9530970562673,7
"Negative_Exponential.Linear_Positive",409.994042926583,51.372628749569,6
"HOF_(Sigmoid).Constant",409.994043062985,51.372628885971,6
"HOF_(Sigmoid).Linear_Positive",412.888160705173,54.2667465281593,7
"Linear.Constant",416.432818351534,57.8114041745207,4
"Asymetric_Bell-Shaped.Constant",417.690897573821,59.0694833968073,7
"No_effect.Constant",418.934530350388,60.3131161733746,3
"Linear.Linear_Positive",419.018403931104,60.3969897540903,5
"Positive_Exponential.Constant",419.020198220948,60.3987840439339,5
"Asymetric_Bell-Shaped.Linear_Positive",420.760416285025,62.1390021080114,8
"No_effect.Linear_Positive",421.384032477694,62.7626183006799,4
"Positive_Exponential.Linear_Positive",421.75353154827,63.1321173712566,6
