"","AICc","dAICc","df"
"HOF_(Sigmoid).Quadratic",-4639.07999283814,0,8
"HOF_(Sigmoid).Linear_Negative",-419.238802997929,4219.84118984022,7
"Negative_Exponential.Quadratic",352.904997476712,4991.98499031486,7
"Asymetric_Bell-Shaped.Quadratic",360.947906467234,5000.02789930538,9
"Positive_Exponential.Quadratic",364.020623445466,5003.10061628361,7
"No_effect.Quadratic",366.979589184545,5006.05958202269,5
"Linear.Quadratic",367.54598769552,5006.62598053366,6
"Asymetric_Bell-Shaped.Linear_Negative",413.644901190807,5052.72489402895,8
"Positive_Exponential.Linear_Negative",413.878092801897,5052.95808564004,6
"No_effect.Linear_Negative",414.218434296812,5053.29842713496,4
"Linear.Linear_Negative",414.804749645656,5053.8847424838,5
"No_effect.Constant",420.010103941395,5059.09009677954,3
"Asymetric_Bell-Shaped.Constant",420.364126226382,5059.44411906453,7
"Negative_Exponential.Linear_Negative",421.218123567162,5060.29811640531,6
"Linear.Constant",422.435472852159,5061.5154656903,4
"No_effect.Linear_Positive",422.459606068293,5061.53959890644,4
"Asymetric_Bell-Shaped.Linear_Positive",423.433644937023,5062.51363777517,8
"Positive_Exponential.Constant",424.714780242224,5063.79477308037,5
"Negative_Exponential.Constant",424.838606450294,5063.91859928844,5
"Linear.Linear_Positive",425.021058430934,5064.10105126908,5
"HOF_(Sigmoid).Constant",426.636303796594,5065.71629663474,6
"Positive_Exponential.Linear_Positive",427.448113568772,5066.52810640692,6
"Negative_Exponential.Linear_Positive",427.571939776826,5066.65193261497,6
"HOF_(Sigmoid).Linear_Positive",429.530421436941,5068.61041427509,7
