"","AICc","dAICc","df"
"Asymetric_Bell-Shaped.Linear_Positive",516.267257206583,0,8
"Linear.Linear_Positive",516.967944280711,0.7006870741277,5
"Linear.Quadratic",519.116654642395,2.84939743581185,6
"Asymetric_Bell-Shaped.Quadratic",519.136178082808,2.86892087622505,9
"Negative_Exponential.Linear_Positive",519.52467136887,3.25741416228675,6
"Negative_Exponential.Quadratic",521.790363818962,5.52310661237914,7
"HOF_(Sigmoid).Linear_Positive",523.765317423686,7.49806021710276,7
"Positive_Exponential.Linear_Positive",523.802981779008,7.53572457242444,6
"Positive_Exponential.Quadratic",525.546566617141,9.27930941055786,7
"No_effect.Quadratic",525.922587100139,9.6553298935554,5
"HOF_(Sigmoid).Quadratic",525.964151128827,9.69689392224404,8
"No_effect.Linear_Positive",528.035980081411,11.7687228748283,4
"Positive_Exponential.Constant",543.053612243032,26.7863550364485,5
"Positive_Exponential.Linear_Negative",545.615931081874,29.3486738752911,6
"Linear.Constant",547.807485767221,31.5402285606383,4
"No_effect.Constant",549.58678600432,33.3195287977364,3
"Linear.Linear_Negative",550.260769760217,33.9935125536336,5
"Negative_Exponential.Constant",550.261734066535,33.9944768599518,5
"No_effect.Linear_Negative",551.937849830773,35.6705926241897,4
"Negative_Exponential.Linear_Negative",552.824052903811,36.5567956972276,6
"HOF_(Sigmoid).Constant",552.921312743309,36.654055536726,6
"Asymetric_Bell-Shaped.Constant",555.465337290522,39.198080083939,7
"HOF_(Sigmoid).Linear_Negative",555.600100618801,39.3328434122179,7
"Asymetric_Bell-Shaped.Linear_Negative",558.26871995104,42.0014627444573,8
