"","AICc","dAICc","df"
"Negative_Exponential.Quadratic",400.690428934857,0,7
"Asymetric_Bell-Shaped.Quadratic",406.221168685476,5.53073975061869,9
"Linear.Quadratic",407.206875441025,6.51644650616726,6
"HOF_(Sigmoid).Quadratic",407.839091410309,7.1486624754512,8
"Positive_Exponential.Quadratic",410.027700527769,9.33727159291169,7
"HOF_(Sigmoid).Linear_Positive",432.828795612543,32.1383666776853,7
"Linear.Linear_Positive",435.398393893017,34.7079649581599,5
"Negative_Exponential.Linear_Positive",437.248842741835,36.5584138069778,6
"Positive_Exponential.Linear_Positive",437.974207332089,37.2837783972313,6
"Asymetric_Bell-Shaped.Linear_Positive",442.786233474097,42.0958045392392,8
"Linear.Constant",449.244570086333,48.5541411514761,4
"Negative_Exponential.Constant",451.584567339287,50.8941384044293,5
"Linear.Linear_Negative",451.697854081829,51.0074251469713,5
"Positive_Exponential.Constant",451.700466555419,51.0100376205617,5
"HOF_(Sigmoid).Constant",452.266279891996,51.575850957139,6
"No_effect.Linear_Positive",453.001008463587,52.3105795287296,4
"Negative_Exponential.Linear_Negative",454.146886179062,53.4564572442046,6
"Positive_Exponential.Linear_Negative",454.262785395194,53.5723564603369,6
"No_effect.Quadratic",454.941369458928,54.2509405240703,5
"HOF_(Sigmoid).Linear_Negative",454.945067770001,54.2546388351433,7
"Asymetric_Bell-Shaped.Constant",457.190197503512,56.4997685686541,7
"No_effect.Constant",457.447687468003,56.7572585331457,3
"Asymetric_Bell-Shaped.Linear_Negative",459.993580166543,59.3031512316858,8
"No_effect.Linear_Negative",1337.45411288428,936.763683949427,4
