"","AICc","dAICc","df"
"Negative_Exponential.Quadratic",322.91588789289,0,7
"Linear.Quadratic",323.597345844969,0.681457952079484,6
"No_effect.Quadratic",324.913313053582,1.99742516069256,5
"Positive_Exponential.Quadratic",326.277030143833,3.3611422509432,7
"HOF_(Sigmoid).Quadratic",328.231874033664,5.31598614077404,8
"Asymetric_Bell-Shaped.Quadratic",329.112516416705,6.19662852381543,9
"No_effect.Linear_Positive",335.933240666129,13.0173527732389,4
"No_effect.Constant",336.207503963092,13.2916160702018,3
"Asymetric_Bell-Shaped.Constant",337.064413798555,14.1485259056655,7
"Linear.Linear_Positive",337.237311859552,14.3214239666622,5
"Asymetric_Bell-Shaped.Linear_Positive",337.311272038257,14.3953841453671,8
"Linear.Constant",337.956207107115,15.040319214225,4
"No_effect.Linear_Negative",338.558567792714,15.6426798998244,4
"Negative_Exponential.Linear_Positive",338.747060762875,15.8311728699851,6
"Negative_Exponential.Constant",339.764901382887,16.8490134899972,5
"Positive_Exponential.Linear_Positive",339.799872230507,16.8839843376168,6
"Asymetric_Bell-Shaped.Linear_Negative",339.867796462334,16.9519085694437,8
"Linear.Linear_Negative",340.40949110325,17.4936032103599,5
"Positive_Exponential.Constant",340.409610078439,17.493722185549,5
"HOF_(Sigmoid).Linear_Positive",340.646519569159,17.7306316762692,7
"HOF_(Sigmoid).Constant",340.991416797381,18.0755289044916,6
"Negative_Exponential.Linear_Negative",342.327220223305,19.4113323304148,6
"Positive_Exponential.Linear_Negative",342.971928918854,20.056041025964,6
"HOF_(Sigmoid).Linear_Negative",343.670204676053,20.7543167831629,7
