"","AICc","dAICc","df"
"Linear.Quadratic",287.267743602669,0,6
"Positive_Exponential.Quadratic",289.964873062905,2.69712946023611,7
"Negative_Exponential.Quadratic",291.20559659802,3.93785299535131,7
"HOF_(Sigmoid).Quadratic",300.604476410587,13.3367328079184,8
"Asymetric_Bell-Shaped.Quadratic",304.808391179221,17.5406475765517,9
"Linear.Linear_Positive",323.900395019115,36.6326514164459,5
"HOF_(Sigmoid).Linear_Positive",325.217498104892,37.9497545022228,7
"Positive_Exponential.Linear_Positive",326.463012006091,39.1952684034215,6
"Negative_Exponential.Linear_Positive",326.691190978736,39.4234473760669,6
"Asymetric_Bell-Shaped.Linear_Positive",327.837989898988,40.5702462963191,8
"No_effect.Quadratic",333.416617841273,46.1488742386035,5
"No_effect.Linear_Positive",338.115836766807,50.8480931641378,4
"Linear.Constant",348.686268083155,61.4185244804863,4
"HOF_(Sigmoid).Constant",349.600844990876,62.3331013882066,6
"No_effect.Constant",350.859778280116,63.5920346774465,3
"Negative_Exponential.Constant",351.057757107595,63.7900135049261,5
"Linear.Linear_Negative",351.139552079017,63.8718084763483,5
"Positive_Exponential.Constant",351.140091020405,63.872347417736,5
"HOF_(Sigmoid).Linear_Negative",352.279632869279,65.0118892666098,7
"Asymetric_Bell-Shaped.Constant",352.36532289156,65.0975792888914,7
"No_effect.Linear_Negative",353.210842109401,65.9430985067316,4
"Negative_Exponential.Linear_Negative",353.62007594774,66.3523323450706,6
"Positive_Exponential.Linear_Negative",353.702409860547,66.434666257878,6
"Asymetric_Bell-Shaped.Linear_Negative",355.168705555018,67.9009619523488,8
