"","AICc","dAICc","df"
"Linear.Quadratic",604.353833880048,0,6
"Negative_Exponential.Quadratic",607.036728763919,2.68289488387177,7
"Positive_Exponential.Quadratic",607.868038691685,3.51420481163711,7
"HOF_(Sigmoid).Quadratic",613.524968296893,9.1711344168458,8
"Linear.Linear_Positive",613.817210939525,9.46337705947758,5
"Asymetric_Bell-Shaped.Quadratic",613.862661040726,9.50882716067883,9
"Linear.Constant",615.353982451405,11.0001485713572,4
"Positive_Exponential.Linear_Positive",616.210250737156,11.8564168571082,6
"Negative_Exponential.Linear_Positive",616.380556641646,12.0267227615982,6
"Positive_Exponential.Constant",617.466126875545,13.1122929954977,5
"HOF_(Sigmoid).Linear_Positive",617.767784432315,13.4139505522671,7
"Linear.Linear_Negative",617.807266444158,13.4534325641105,5
"Negative_Exponential.Constant",617.809687156288,13.4558532762401,5
"HOF_(Sigmoid).Constant",618.892456198151,14.5386223181032,6
"Positive_Exponential.Linear_Negative",620.028445712582,15.6746118325344,6
"Negative_Exponential.Linear_Negative",620.372005993321,16.0181721132734,6
"HOF_(Sigmoid).Linear_Negative",621.571244073462,17.2174101934141,7
"Asymetric_Bell-Shaped.Linear_Positive",622.038307415008,17.6844735349606,8
"No_effect.Linear_Positive",622.433146894091,18.0793130140435,4
"Asymetric_Bell-Shaped.Constant",623.273579734043,18.919745853995,7
"No_effect.Constant",623.405246493762,19.0514126137148,3
"No_effect.Quadratic",623.832309196627,19.4784753165791,5
"No_effect.Linear_Negative",625.75631031996,21.4024764399119,4
"Asymetric_Bell-Shaped.Linear_Negative",626.07696239443,21.7231285143828,8
