"","AICc","dAICc","df"
"HOF_(Sigmoid).Quadratic",-6696.90411737506,0,8
"Negative_Exponential.Quadratic",337.521158324719,7034.42527569978,7
"Asymetric_Bell-Shaped.Quadratic",341.211423419185,7038.11554079425,9
"Linear.Quadratic",341.802673445731,7038.70679082079,6
"Positive_Exponential.Quadratic",344.553924732631,7041.45804210769,7
"HOF_(Sigmoid).Linear_Positive",373.763761425541,7070.6678788006,7
"Linear.Linear_Positive",380.058119075883,7076.96223645095,5
"Negative_Exponential.Linear_Positive",381.485460191986,7078.38957756705,6
"Positive_Exponential.Linear_Positive",382.626346861193,7079.53046423626,6
"HOF_(Sigmoid).Constant",382.979506431316,7079.88362380638,6
"Linear.Constant",383.748110937043,7080.6522283121,4
"Negative_Exponential.Constant",385.303364550821,7082.20748192588,5
"No_effect.Quadratic",385.561282917468,7082.46540029253,5
"HOF_(Sigmoid).Linear_Negative",385.658294309959,7082.56241168502,7
"Linear.Linear_Negative",386.20139493327,7083.10551230833,5
"Positive_Exponential.Constant",386.204063255925,7083.10818063099,5
"Asymetric_Bell-Shaped.Linear_Positive",386.424664067617,7083.32878144268,8
"Negative_Exponential.Linear_Negative",387.865683391283,7084.76980076634,6
"Positive_Exponential.Linear_Negative",388.766382096431,7085.67049947149,6
"No_effect.Constant",389.168828908657,7086.07294628372,3
"No_effect.Linear_Positive",389.575131099774,7086.47924847484,4
"Asymetric_Bell-Shaped.Constant",390.456350712445,7087.36046808751,7
"No_effect.Linear_Negative",391.519892738366,7088.42401011343,4
"Asymetric_Bell-Shaped.Linear_Negative",393.259733376173,7090.16385075123,8
