"","AICc","dAICc","df"
"HOF_(Sigmoid).Linear_Positive",502.971383441983,0,7
"HOF_(Sigmoid).Quadratic",505.761339662034,2.7899562200505,8
"Asymetric_Bell-Shaped.Linear_Positive",510.229441453002,7.25805801101865,8
"Linear.Linear_Positive",510.316392590844,7.34500914886064,5
"Linear.Quadratic",511.100739059086,8.12935561710316,6
"Asymetric_Bell-Shaped.Quadratic",512.816514044971,9.84513060298804,9
"Negative_Exponential.Linear_Positive",512.875253302093,9.90386986010998,6
"Negative_Exponential.Quadratic",513.77622166667,10.8048382246865,7
"Positive_Exponential.Linear_Positive",516.155272513913,13.1838890719302,6
"No_effect.Quadratic",516.156743680767,13.1853602387839,5
"Positive_Exponential.Quadratic",516.40987996204,13.4384965200567,7
"No_effect.Linear_Positive",521.543325324401,18.5719418824182,4
"Positive_Exponential.Constant",537.488520456376,34.5171370143925,5
"Positive_Exponential.Linear_Negative",540.050839293868,37.0794558518845,6
"Linear.Constant",544.507427224452,41.5360437824693,4
"No_effect.Constant",546.134879896751,43.1634964547681,3
"Linear.Linear_Negative",546.960711217464,43.9893277754809,5
"Negative_Exponential.Constant",546.961281438837,43.9898979968534,5
"No_effect.Linear_Negative",548.485943723219,45.514560281236,4
"HOF_(Sigmoid).Constant",549.219603333106,46.2482198911223,6
"Negative_Exponential.Linear_Negative",549.523600276128,46.5522168341449,6
"HOF_(Sigmoid).Linear_Negative",551.898391208579,48.927007766596,7
"Asymetric_Bell-Shaped.Constant",552.353987115762,49.3826036737784,7
"Asymetric_Bell-Shaped.Linear_Negative",555.157369776359,52.1859863343755,8
