"","AICc","dAICc","df"
"HOF_(Sigmoid).Linear_Positive",-Inf,NA,7
"Linear.Quadratic",11.3714330004648,Inf,6
"Positive_Exponential.Quadratic",13.5572572636109,Inf,7
"Linear.Linear_Positive",44.1393370816361,Inf,5
"Positive_Exponential.Linear_Positive",46.3515170088699,Inf,6
"Negative_Exponential.Quadratic",93.343606339386,Inf,7
"Negative_Exponential.Linear_Positive",94.0889512863557,Inf,6
"Asymetric_Bell-Shaped.Linear_Positive",108.537534115321,Inf,8
"Asymetric_Bell-Shaped.Quadratic",110.500839426305,Inf,9
"No_effect.Linear_Positive",134.320589980213,Inf,4
"No_effect.Quadratic",135.192241385056,Inf,5
"Asymetric_Bell-Shaped.Constant",199.298668908802,Inf,7
"No_effect.Constant",201.508811176033,Inf,3
"Asymetric_Bell-Shaped.Linear_Negative",202.102051571739,Inf,8
"Linear.Constant",203.193679317677,Inf,4
"No_effect.Linear_Negative",203.859875005498,Inf,4
"Negative_Exponential.Constant",205.524560227521,Inf,5
"Linear.Linear_Negative",205.646963313638,Inf,5
"Positive_Exponential.Constant",205.647171381689,Inf,5
"HOF_(Sigmoid).Constant",206.297588990851,Inf,6
"Negative_Exponential.Linear_Negative",208.086879067784,Inf,6
"Positive_Exponential.Linear_Negative",208.20949022193,Inf,6
"HOF_(Sigmoid).Linear_Negative",208.976376868976,Inf,7
"HOF_(Sigmoid).Quadratic",NA,NA,8
