"","AICc","dAICc","df"
"HOF_(Sigmoid).Quadratic",572.713043445865,0,8
"Negative_Exponential.Quadratic",580.935203576335,8.22216013047057,7
"HOF_(Sigmoid).Linear_Positive",592.783344780197,20.070301334332,7
"Negative_Exponential.Linear_Positive",592.980672614614,20.2676291687491,6
"Negative_Exponential.Constant",595.164126340937,22.4510828950722,5
"HOF_(Sigmoid).Constant",596.364233883906,23.6511904380412,6
"Negative_Exponential.Linear_Negative",597.726445178074,25.013401732209,6
"Linear.Quadratic",598.541330091369,25.8282866455045,6
"Linear.Constant",598.867872249567,26.1548288037026,4
"HOF_(Sigmoid).Linear_Negative",599.043021759246,26.329978313381,7
"Linear.Linear_Positive",599.524863253602,26.8118198077368,5
"Positive_Exponential.Quadratic",601.226348883074,28.5133054372093,7
"Linear.Linear_Negative",601.321156242427,28.6081127965628,5
"Positive_Exponential.Constant",601.3240277701,28.6109843242349,5
"Positive_Exponential.Linear_Positive",602.0917771337,29.3787336878348,6
"Positive_Exponential.Linear_Negative",603.88634660724,31.1733031613751,6
"No_effect.Constant",606.076897117286,33.3638536714217,3
"Asymetric_Bell-Shaped.Constant",606.624493973208,33.9114505273437,7
"Asymetric_Bell-Shaped.Linear_Positive",608.021686519244,35.3086430733791,8
"No_effect.Linear_Positive",608.355390088429,35.6423466425643,4
"No_effect.Linear_Negative",608.42796094365,35.7149174977852,4
"Asymetric_Bell-Shaped.Linear_Negative",609.427876635633,36.7148331897682,8
"No_effect.Quadratic",610.908159243337,38.1951157974719,5
"Asymetric_Bell-Shaped.Quadratic",612.470454903753,39.7574114578881,9
