"","AICc","dAICc","df"
"HOF_(Sigmoid).Quadratic",572.713047262436,0,8
"Negative_Exponential.Quadratic",580.935199287465,8.22215202502855,7
"Asymetric_Bell-Shaped.Quadratic",584.261925997469,11.5488787350326,9
"HOF_(Sigmoid).Linear_Positive",592.78334588779,20.0702986253541,7
"Negative_Exponential.Linear_Positive",592.98067319118,20.2676259287435,6
"Negative_Exponential.Constant",595.164126340965,22.4510790785289,5
"HOF_(Sigmoid).Constant",596.364234310146,23.6511870477099,6
"Negative_Exponential.Linear_Negative",597.726445178102,25.0133979156656,6
"Asymetric_Bell-Shaped.Linear_Positive",597.735600956291,25.0225536938551,8
"Linear.Quadratic",598.54133010308,25.8282828406434,6
"Linear.Constant",598.867872249567,26.1548249871312,4
"HOF_(Sigmoid).Linear_Negative",599.043022185486,26.3299749230497,7
"Linear.Linear_Positive",599.524863312609,26.8118160501732,5
"Asymetric_Bell-Shaped.Constant",600.058674513751,27.3456272513151,7
"Positive_Exponential.Quadratic",601.227663741886,28.5146164794496,7
"Linear.Linear_Negative",601.321156242427,28.6081089799914,5
"Positive_Exponential.Constant",601.324479938211,28.6114326757744,5
"Positive_Exponential.Linear_Positive",602.09214689338,29.3790996309443,6
"Asymetric_Bell-Shaped.Linear_Negative",602.862057174155,30.1490099117184,8
"Positive_Exponential.Linear_Negative",603.886798775351,31.1737515129145,6
"No_effect.Constant",606.076897117286,33.3638498548503,3
"No_effect.Linear_Positive",608.355390088429,35.642342825993,4
"No_effect.Linear_Negative",608.42796094365,35.7149136812138,4
"No_effect.Quadratic",610.908159243337,38.1951119809005,5
