"","AICc","dAICc","df"
"Linear.Quadratic",624.899055099928,0,6
"Negative_Exponential.Quadratic",627.562529897137,2.66347479720912,7
"Positive_Exponential.Quadratic",628.150455800697,3.25140070076975,7
"HOF_(Sigmoid).Quadratic",632.897348506065,7.99829340613792,8
"Asymetric_Bell-Shaped.Quadratic",634.333220846486,9.43416574655896,9
"Linear.Linear_Positive",636.053947116008,11.1548920160803,5
"Positive_Exponential.Linear_Positive",638.631267825162,13.7322127252345,6
"Negative_Exponential.Linear_Positive",638.735002269857,13.835947169929,6
"Linear.Constant",640.73236060711,15.8333055071829,4
"HOF_(Sigmoid).Linear_Positive",641.725647282582,16.826592182655,7
"Positive_Exponential.Constant",643.145977579251,18.2469224793238,5
"Linear.Linear_Negative",643.185644599751,18.2865894998231,5
"Negative_Exponential.Constant",643.18858524785,18.2895301479223,5
"Asymetric_Bell-Shaped.Linear_Positive",644.18425149883,19.2851963989023,8
"Positive_Exponential.Linear_Negative",645.708296416171,20.809241316244,6
"Negative_Exponential.Linear_Negative",645.75090408477,20.8518489848421,6
"HOF_(Sigmoid).Constant",645.823260144905,20.9242050449778,6
"Asymetric_Bell-Shaped.Constant",648.30104986787,23.4019947679424,7
"HOF_(Sigmoid).Linear_Negative",648.502048020131,23.6029929202036,7
"No_effect.Linear_Positive",650.416158414773,25.5171033148451,4
"Asymetric_Bell-Shaped.Linear_Negative",651.104432528126,26.2053774281987,8
"No_effect.Constant",652.026474241569,27.1274191416417,3
"No_effect.Quadratic",652.301373742648,27.4023186427206,5
"No_effect.Linear_Negative",654.377538067681,29.4784829677534,4
