"","AICc","dAICc","df"
"Asymetric_Bell-Shaped.Quadratic",340.504648484747,0,9
"Linear.Quadratic",341.706718130063,1.2020696453161,6
"Positive_Exponential.Quadratic",344.125172243596,3.62052375884855,7
"HOF_(Sigmoid).Quadratic",348.189016858458,7.68436837371075,8
"Negative_Exponential.Quadratic",367.471385616739,26.9667371319919,7
"HOF_(Sigmoid).Linear_Positive",397.830835944676,57.3261874599285,7
"Linear.Linear_Positive",403.054292309594,62.5496438248471,5
"Positive_Exponential.Linear_Positive",405.609263263462,65.1046147787148,6
"Negative_Exponential.Linear_Positive",407.017564432553,66.5129159478055,6
"Asymetric_Bell-Shaped.Linear_Positive",410.312442888985,69.8077944042379,8
"Linear.Constant",429.935475909293,89.4308274245455,4
"Negative_Exponential.Constant",432.109814737005,91.605166252258,5
"Linear.Linear_Negative",432.388759905217,91.8841114204694,5
"Positive_Exponential.Constant",432.394826803324,91.8901783185767,5
"HOF_(Sigmoid).Constant",433.865255592505,93.3606071077575,6
"Negative_Exponential.Linear_Negative",434.672133577217,94.1674850924697,6
"Positive_Exponential.Linear_Negative",434.957145643529,94.452497158782,6
"Asymetric_Bell-Shaped.Constant",436.270464604684,95.7658161199368,7
"HOF_(Sigmoid).Linear_Negative",436.544043470971,96.0393949862234,7
"No_effect.Quadratic",437.334504649221,96.8298561644738,5
"No_effect.Linear_Positive",438.254994455435,97.750345970688,4
"Asymetric_Bell-Shaped.Linear_Negative",439.073847268182,98.569198783435,8
"No_effect.Constant",442.141881669681,101.637233184934,3
"No_effect.Linear_Negative",444.492945498855,103.988297014107,4
