"","AICc","dAICc","df"
"Negative_Exponential.Quadratic",402.777188108107,0,7
"HOF_(Sigmoid).Quadratic",408.40508617014,5.62789806203307,8
"Linear.Quadratic",410.975831186649,8.19864307854209,6
"Asymetric_Bell-Shaped.Quadratic",411.038486068151,8.26129796004409,9
"Positive_Exponential.Quadratic",413.785607265922,11.0084191578148,7
"HOF_(Sigmoid).Linear_Positive",434.725465617033,31.948277508926,7
"Linear.Linear_Positive",438.084129877242,35.3069417691347,5
"Negative_Exponential.Linear_Positive",439.573736074814,36.796547966707,6
"Positive_Exponential.Linear_Positive",440.661074386203,37.8838862780956,6
"Asymetric_Bell-Shaped.Linear_Positive",442.209367822721,39.4321797146135,8
"Linear.Constant",451.19298878398,48.4158006758731,4
"Negative_Exponential.Constant",453.408608420631,50.6314203125233,5
"HOF_(Sigmoid).Constant",453.601747641519,50.824559533412,6
"Linear.Linear_Negative",453.646272779481,50.8690846713733,5
"Positive_Exponential.Constant",453.649627572674,50.8724394645665,5
"No_effect.Linear_Positive",455.184729745391,52.4075416372839,4
"Negative_Exponential.Linear_Negative",455.970927260412,53.1937391523049,6
"Positive_Exponential.Linear_Negative",456.211946412453,53.434758304346,6
"HOF_(Sigmoid).Linear_Negative",456.280535519496,53.5033474113884,7
"No_effect.Quadratic",456.942127845992,54.1649397378848,5
"Asymetric_Bell-Shaped.Constant",458.180485713805,55.4032976056974,7
"No_effect.Constant",459.052222937359,56.275034829252,3
"Asymetric_Bell-Shaped.Linear_Negative",460.983868376804,58.2066802686966,8
"No_effect.Linear_Negative",461.40328676605,58.6260986579429,4
