"","AICc","dAICc","df"
"Negative_Exponential.Quadratic",92.2059566288932,0,7
"Asymetric_Bell-Shaped.Quadratic",101.634211917332,9.42825528843841,9
"Positive_Exponential.Quadratic",121.980079222082,29.7741225931884,7
"No_effect.Quadratic",127.640667475157,35.4347108462637,5
"Linear.Quadratic",130.180712518389,37.9747558894956,6
"HOF_(Sigmoid).Quadratic",135.685156858372,43.479200229479,8
"Asymetric_Bell-Shaped.Constant",212.893413618171,120.687456989278,7
"No_effect.Constant",214.749159534428,122.543202905534,3
"Asymetric_Bell-Shaped.Linear_Positive",215.200811718547,122.994855089654,8
"Asymetric_Bell-Shaped.Linear_Negative",215.696796282009,123.490839653115,8
"No_effect.Linear_Positive",216.836657122727,124.630700493834,4
"Linear.Constant",217.100004538503,124.89404790961,4
"No_effect.Linear_Negative",217.10022336421,124.894266735316,4
"Negative_Exponential.Constant",219.148846733789,126.942890104896,5
"Linear.Linear_Positive",219.26744727287,127.061490643976,5
"Positive_Exponential.Constant",219.29503525242,127.089078623526,5
"Linear.Linear_Negative",219.553288534797,127.347331905904,5
"Negative_Exponential.Linear_Positive",220.270137833339,128.064181204446,6
"Negative_Exponential.Linear_Negative",221.711165574359,129.505208945466,6
"Positive_Exponential.Linear_Positive",221.838706954318,129.632750325425,6
"Positive_Exponential.Linear_Negative",221.857354092998,129.651397464105,6
"HOF_(Sigmoid).Constant",222.115826201094,129.909869572201,6
"HOF_(Sigmoid).Linear_Positive",224.531047838394,132.325091209501,7
"HOF_(Sigmoid).Linear_Negative",224.794614079877,132.588657450984,7
