"","AICc","dAICc","df"
"Linear.Quadratic",387.735340867567,0,6
"Negative_Exponential.Quadratic",387.997465138304,0.262124270737502,7
"Positive_Exponential.Quadratic",390.432327861828,2.69698699426118,7
"Asymetric_Bell-Shaped.Quadratic",393.445022252982,5.70968138541525,9
"Linear.Linear_Positive",394.231567784983,6.49622691741655,5
"HOF_(Sigmoid).Quadratic",395.094398991153,7.35905812358601,8
"Negative_Exponential.Linear_Positive",396.299861801828,8.56452093426117,6
"Positive_Exponential.Linear_Positive",396.799274501203,9.06393363363651,6
"HOF_(Sigmoid).Linear_Positive",400.273121203559,12.5377803359917,7
"Asymetric_Bell-Shaped.Linear_Positive",401.800947379397,14.0656065118296,8
"Linear.Constant",407.057608816338,19.3222679487707,4
"Negative_Exponential.Constant",409.335044791858,21.5997039242911,5
"Linear.Linear_Negative",409.510892812455,21.7755519448882,5
"Positive_Exponential.Constant",409.512864152615,21.7775232850485,5
"No_effect.Linear_Positive",410.595395728416,22.8600548608493,4
"Negative_Exponential.Linear_Negative",411.897363632256,24.1620227646889,6
"Positive_Exponential.Linear_Negative",412.075182993013,24.339842125446,6
"HOF_(Sigmoid).Constant",412.092374423277,24.3570335557104,6
"Asymetric_Bell-Shaped.Constant",412.584295541494,24.8489546739275,7
"No_effect.Quadratic",413.028203473224,25.2928626056575,5
"HOF_(Sigmoid).Linear_Negative",414.771162301888,27.0358214343215,7
"No_effect.Constant",415.351307391371,27.6159665238045,3
"Asymetric_Bell-Shaped.Linear_Negative",415.387678205135,27.6523373375684,8
"No_effect.Linear_Negative",417.702371220937,29.9670303533696,4
