"","AICc","dAICc","df"
"Negative_Exponential.Quadratic",690.877967157545,0,7
"Linear.Quadratic",692.203765941611,1.3257987840658,6
"Positive_Exponential.Quadratic",694.902761610824,4.02479445327901,7
"Linear.Linear_Positive",697.188016902357,6.31004974481209,5
"Asymetric_Bell-Shaped.Quadratic",697.491748392152,6.61378123460645,9
"Negative_Exponential.Linear_Positive",698.176779295222,7.29881213767646,6
"Positive_Exponential.Linear_Positive",699.760845189248,8.8828780317026,6
"Linear.Constant",700.012941508466,9.13497435092097,4
"Negative_Exponential.Constant",701.879301492322,11.0013343347773,5
"Linear.Linear_Negative",702.46622550103,11.5882583434849,5
"Positive_Exponential.Constant",702.471488052451,11.5935208949056,5
"HOF_(Sigmoid).Quadratic",703.406968730121,12.5290015725761,8
"Asymetric_Bell-Shaped.Linear_Positive",704.056101894928,13.1781347373833,8
"Negative_Exponential.Linear_Negative",704.441620329158,13.5636531716127,6
"HOF_(Sigmoid).Linear_Positive",704.967385410781,14.0894182532357,7
"Positive_Exponential.Linear_Negative",705.033806889294,14.1558397317492,6
"HOF_(Sigmoid).Constant",707.096930444078,16.2189632865328,6
"Asymetric_Bell-Shaped.Constant",707.581407028261,16.703439870716,7
"HOF_(Sigmoid).Linear_Negative",709.775718319595,18.89775116205,7
"Asymetric_Bell-Shaped.Linear_Negative",710.384789688439,19.5068225308936,8
"No_effect.Constant",713.137811772164,22.2598446146185,3
"No_effect.Linear_Positive",713.893958308205,23.0159911506602,4
"No_effect.Linear_Negative",715.488875598247,24.6109084407016,4
"No_effect.Quadratic",716.347229909211,25.469262751666,5
