"","AICc","dAICc","df"
"Negative_Exponential.Quadratic",309.787553469441,0,7
"Negative_Exponential.Linear_Positive",312.74091294791,2.95335947846928,6
"Negative_Exponential.Constant",312.987837156911,3.20028368746995,5
"Negative_Exponential.Linear_Negative",315.55015599739,5.7626025279497,6
"Linear.Constant",318.771744819395,8.98419134995447,4
"Asymetric_Bell-Shaped.Quadratic",319.290841839836,9.50328837039541,9
"Asymetric_Bell-Shaped.Constant",320.700482713173,10.9129292437318,7
"Asymetric_Bell-Shaped.Linear_Positive",320.776078880621,10.9885254111804,8
"Linear.Linear_Negative",321.225028815689,11.437475346248,5
"Positive_Exponential.Constant",321.265051666735,11.4774981972943,5
"Linear.Quadratic",322.311913261382,12.5243597919412,6
"HOF_(Sigmoid).Constant",322.391347018311,12.6037935488705,6
"Asymetric_Bell-Shaped.Linear_Negative",323.503865376919,13.7163119074785,8
"Positive_Exponential.Linear_Negative",323.827370507309,14.0398170378684,6
"HOF_(Sigmoid).Linear_Positive",324.422199195315,14.6346457258745,7
"Positive_Exponential.Quadratic",325.036224521598,15.248671052157,7
"HOF_(Sigmoid).Linear_Negative",325.070134897047,15.282581427606,7
"HOF_(Sigmoid).Quadratic",326.056898883565,16.2693454141245,8
"Linear.Linear_Positive",327.064644279605,17.2770908101642,5
"Positive_Exponential.Linear_Positive",329.889698376136,20.1021449066956,6
"No_effect.Constant",377.732130779897,67.9445773104559,3
"No_effect.Linear_Negative",379.847099863715,70.0595463942742,4
"No_effect.Linear_Positive",380.083194609721,70.2956411402803,4
"No_effect.Quadratic",382.503997117464,72.7164436480231,5
