"","AICc","dAICc","df"
"HOF_(Sigmoid).Quadratic",467.620179594477,0,8
"HOF_(Sigmoid).Linear_Positive",468.380562153291,0.76038255881366,7
"Linear.Quadratic",469.255572081699,1.63539248722168,6
"Negative_Exponential.Quadratic",473.541329389158,5.9211497946809,7
"Linear.Linear_Positive",475.77869943648,8.15851984200236,5
"Negative_Exponential.Linear_Positive",479.553221994673,11.9330424001957,6
"Positive_Exponential.Quadratic",479.990201263652,12.3700216691749,7
"Positive_Exponential.Linear_Positive",484.01647654728,16.3962969528023,6
"Asymetric_Bell-Shaped.Quadratic",492.203374301775,24.5831947072975,9
"Asymetric_Bell-Shaped.Linear_Positive",493.168366417475,25.548186822998,8
"No_effect.Quadratic",508.715841554439,41.0956619599617,5
"No_effect.Linear_Positive",509.920970531347,42.3007909368695,4
"HOF_(Sigmoid).Constant",511.636157397218,44.0159778027408,6
"Linear.Constant",512.142461836658,44.5222822421803,4
"HOF_(Sigmoid).Linear_Negative",514.502824054645,46.882644460168,7
"Negative_Exponential.Constant",514.682080982106,47.0619013876286,5
"Linear.Linear_Negative",514.711451870033,47.0912722755554,5
"Negative_Exponential.Linear_Negative",517.393792684576,49.7736130900983,6
"No_effect.Constant",519.951409287146,52.3312296926687,3
"No_effect.Linear_Negative",522.388656241374,54.7684766468967,4
"Asymetric_Bell-Shaped.Constant",523.594581872058,55.9744022775807,7
"Positive_Exponential.Constant",524.467909786869,56.8477301923911,5
"Asymetric_Bell-Shaped.Linear_Negative",526.629875987897,59.00969639342,8
"Positive_Exponential.Linear_Negative",527.179619402068,59.5594398075903,6
