"","AICc","dAICc","df"
"Negative_Exponential.Quadratic",635.157143036012,0,7
"Asymetric_Bell-Shaped.Quadratic",643.629691222405,8.47254818639317,9
"Negative_Exponential.Linear_Positive",643.637288292899,8.48014525688768,6
"Linear.Quadratic",645.583209725493,10.4260666894817,6
"Negative_Exponential.Constant",648.254267874676,13.0971248386638,5
"Positive_Exponential.Quadratic",648.357467322841,13.2003242868287,7
"Linear.Linear_Positive",649.030324006726,13.8731809707141,5
"Asymetric_Bell-Shaped.Linear_Positive",649.880056046206,14.7229130101939,8
"Negative_Exponential.Linear_Negative",650.81658671158,15.6594436755681,6
"HOF_(Sigmoid).Quadratic",651.071309948836,15.9141669128238,8
"Linear.Constant",651.613897801073,16.4567547650607,4
"Positive_Exponential.Linear_Positive",651.666587335084,16.5094442990726,6
"HOF_(Sigmoid).Linear_Positive",652.144720642642,16.9875776066299,7
"Linear.Linear_Negative",654.067181793704,18.9100387576922,5
"Positive_Exponential.Constant",654.115562439757,18.958419403745,5
"HOF_(Sigmoid).Constant",654.633526865059,19.4763838290469,6
"Asymetric_Bell-Shaped.Constant",654.909016001747,19.7518729657351,7
"Positive_Exponential.Linear_Negative",656.677881276669,21.5207382406568,6
"HOF_(Sigmoid).Linear_Negative",657.312314741745,22.1551717057333,7
"Asymetric_Bell-Shaped.Linear_Negative",657.712398661906,22.5552556258946,8
"No_effect.Constant",726.879961606319,91.7228185703076,3
"No_effect.Linear_Negative",729.226677490316,94.0695344543043,4
"No_effect.Linear_Positive",729.231025432487,94.0738823964753,4
"No_effect.Quadratic",731.54039277202,96.3832497360082,5
