"","AICc","dAICc","df"
"Negative_Exponential.Constant",180.416470956584,0,5
"Negative_Exponential.Linear_Negative",181.242105870698,0.825634914114062,6
"Negative_Exponential.Quadratic",181.742827498411,1.32635654182695,7
"HOF_(Sigmoid).Constant",182.872844650744,2.45637369415959,6
"Negative_Exponential.Linear_Positive",182.978789796903,2.56231884031854,6
"HOF_(Sigmoid).Linear_Negative",183.936277503456,3.51980654687185,7
"HOF_(Sigmoid).Quadratic",184.780951532186,4.36448057560179,8
"HOF_(Sigmoid).Linear_Positive",185.55163252927,5.13516157268563,7
"Asymetric_Bell-Shaped.Linear_Negative",208.894594266774,28.4781233101902,8
"Asymetric_Bell-Shaped.Quadratic",211.774201078359,31.3577301217748,9
"Asymetric_Bell-Shaped.Constant",220.407923678689,39.9914527221048,7
"Asymetric_Bell-Shaped.Linear_Positive",223.211306342763,42.7948353861784,8
"Linear.Linear_Negative",227.419673281183,47.0032023245983,5
"Linear.Quadratic",229.743765497706,49.3272945411214,6
"Positive_Exponential.Linear_Negative",229.893243863129,49.4767729065447,6
"Positive_Exponential.Quadratic",232.317959869641,51.9014889130572,7
"Linear.Constant",238.844154064732,58.4276831081482,4
"Linear.Linear_Positive",241.297438061239,60.880967104655,5
"Positive_Exponential.Constant",241.311454952545,60.894983995961,5
"Positive_Exponential.Linear_Positive",243.873773793332,63.4573028367481,6
"No_effect.Quadratic",253.928788830016,73.5123178734322,5
"No_effect.Linear_Negative",259.261994621175,78.8455236645911,4
"No_effect.Constant",269.453493143116,89.0370221865318,3
"No_effect.Linear_Positive",271.804556972776,91.3880860161917,4
