"","AICc","dAICc","df"
"Linear.Quadratic",548.800262402749,0,6
"Positive_Exponential.Quadratic",551.476790005146,2.67652760239662,7
"HOF_(Sigmoid).Quadratic",552.04762159786,3.24735919511022,8
"Negative_Exponential.Quadratic",552.172573010129,3.3723106073794,7
"Linear.Linear_Positive",552.203665485653,3.40340308290331,5
"HOF_(Sigmoid).Linear_Positive",554.270621490389,5.47035908763917,7
"Positive_Exponential.Linear_Positive",554.764522023343,5.96425962059391,6
"Asymetric_Bell-Shaped.Quadratic",554.954838657322,6.15457625457248,9
"Negative_Exponential.Linear_Positive",555.484769552393,6.68450714964331,6
"Asymetric_Bell-Shaped.Linear_Positive",556.935316159594,8.13505375684463,8
"No_effect.Quadratic",569.101935634572,20.3016732318223,5
"No_effect.Linear_Positive",569.694689930382,20.8944275276326,4
"Linear.Constant",570.257465755032,21.4572033522829,4
"Negative_Exponential.Constant",572.518212994811,23.7179505920619,5
"Linear.Linear_Negative",572.710749747973,23.9104873452233,5
"Positive_Exponential.Constant",572.713417975964,23.9131555732143,5
"HOF_(Sigmoid).Constant",573.112771038351,24.3125086356011,6
"Negative_Exponential.Linear_Negative",575.080531832036,26.2802694292867,6
"Positive_Exponential.Linear_Negative",575.275736813184,26.4754744104346,6
"Asymetric_Bell-Shaped.Constant",575.705048080245,26.9047856774957,7
"HOF_(Sigmoid).Linear_Negative",575.79155891385,26.9912965111007,7
"No_effect.Constant",576.779915347675,27.9796529449259,3
"Asymetric_Bell-Shaped.Linear_Negative",578.508430740813,29.7081683380632,8
"No_effect.Linear_Negative",579.130979174067,30.330716771318,4
