"","AICc","dAICc","df"
"Linear.Quadratic",403.85370905194,0,6
"Positive_Exponential.Quadratic",405.450897261179,1.59718820923831,7
"Negative_Exponential.Quadratic",406.592338430884,2.73862937894381,7
"Asymetric_Bell-Shaped.Quadratic",412.852530219864,8.99882116792361,9
"Linear.Linear_Positive",415.065933481803,11.2122244298629,5
"Positive_Exponential.Linear_Positive",417.457251321078,13.6035422691373,6
"Negative_Exponential.Linear_Positive",417.63976236153,13.78605330959,6
"HOF_(Sigmoid).Quadratic",422.602117644294,18.7484085923541,8
"Asymetric_Bell-Shaped.Linear_Positive",423.66393880885,19.8102297569095,8
"HOF_(Sigmoid).Linear_Positive",425.372219130404,21.5185100784635,7
"Linear.Constant",436.605948512043,32.7522394601024,4
"Positive_Exponential.Constant",438.568595585083,34.7148865331424,5
"Linear.Linear_Negative",439.059232507765,35.2055234558245,5
"Negative_Exponential.Constant",439.071209960293,35.2175009083522,5
"Positive_Exponential.Linear_Negative",441.13091442515,37.2772053732101,6
"Negative_Exponential.Linear_Negative",441.633528800295,37.7798197483542,6
"HOF_(Sigmoid).Constant",442.501365327026,38.6476562750859,6
"Asymetric_Bell-Shaped.Constant",445.016393383312,41.1626843313715,7
"HOF_(Sigmoid).Linear_Negative",445.180153205339,41.3264441533987,7
"Asymetric_Bell-Shaped.Linear_Negative",447.819776046567,43.9660669946267,8
"No_effect.Quadratic",476.186585221145,72.3328761692044,5
"No_effect.Linear_Positive",481.449998454589,77.5962894026487,4
"No_effect.Constant",483.16680608258,79.3130970306399,3
"No_effect.Linear_Negative",485.517869910624,81.6641608586837,4
