"","AICc","dAICc","df"
"Negative_Exponential.Quadratic",306.839360788539,0,7
"HOF_(Sigmoid).Quadratic",315.822723174433,8.98336238589343,8
"Linear.Quadratic",319.987264720552,13.1479039320124,6
"Negative_Exponential.Linear_Positive",320.777288650863,13.9379278623241,6
"Positive_Exponential.Quadratic",322.747229647798,15.9078688592584,7
"HOF_(Sigmoid).Linear_Positive",324.800122499993,17.9607617114537,7
"Linear.Linear_Positive",330.458200700299,23.6188399117594,5
"Positive_Exponential.Linear_Positive",333.22120975014,26.3818489616011,6
"Negative_Exponential.Constant",335.530885249336,28.6915244607966,5
"Negative_Exponential.Linear_Negative",338.093204089678,31.2538433011387,6
"Linear.Constant",338.78377733546,31.9444165469206,4
"Linear.Linear_Negative",341.237061331511,34.3977005429713,5
"Positive_Exponential.Constant",341.280142827942,34.4407820394024,5
"HOF_(Sigmoid).Constant",341.768777308924,34.9294165203844,6
"Positive_Exponential.Linear_Negative",343.842461668276,37.0031008797362,6
"HOF_(Sigmoid).Linear_Negative",344.447565187453,37.6082043989133,7
"Asymetric_Bell-Shaped.Constant",392.004500330322,85.1651395417827,7
"Asymetric_Bell-Shaped.Linear_Negative",394.760452934241,87.9210921457016,8
"Asymetric_Bell-Shaped.Linear_Positive",394.80788298835,87.9685221998102,8
"Asymetric_Bell-Shaped.Quadratic",397.714524640582,90.8751638520423,9
"No_effect.Constant",410.312404829227,103.473044040688,3
"No_effect.Linear_Positive",412.660267244887,105.820906456348,4
"No_effect.Linear_Negative",412.663468658992,105.824107870452,4
"No_effect.Quadratic",414.875148697694,108.035787909155,5
