"","AICc","dAICc","df"
"Negative_Exponential.Quadratic",643.860799766232,0,7
"Asymetric_Bell-Shaped.Quadratic",651.990068596423,8.12926883019077,9
"Negative_Exponential.Linear_Positive",654.160038024047,10.2992382578144,6
"Linear.Quadratic",658.552025623642,14.6912258574093,6
"Asymetric_Bell-Shaped.Linear_Positive",660.096856769308,16.2360570030758,8
"Negative_Exponential.Constant",660.208858828614,16.3480590623814,5
"HOF_(Sigmoid).Quadratic",660.812344444237,16.9515446780044,8
"Positive_Exponential.Quadratic",661.317329152816,17.4565293865833,7
"HOF_(Sigmoid).Linear_Positive",662.649427925974,18.7886281597413,7
"Negative_Exponential.Linear_Negative",662.771177665484,18.9103778992514,6
"Linear.Constant",665.07760434341,21.2168045771779,4
"HOF_(Sigmoid).Constant",666.126570374387,22.2657706081552,6
"Asymetric_Bell-Shaped.Constant",666.442294305229,22.5814945389964,7
"Linear.Linear_Negative",667.53088833601,23.6700885697782,5
"Positive_Exponential.Constant",667.578694911473,23.7178951452408,5
"Positive_Exponential.Linear_Positive",668.624267563644,24.7634677974116,6
"HOF_(Sigmoid).Linear_Negative",668.805358250949,24.9445584847172,7
"Asymetric_Bell-Shaped.Linear_Negative",669.245676965429,25.3848771991964,8
"Positive_Exponential.Linear_Negative",670.141013748361,26.2802139821287,6
"Linear.Linear_Positive",672.280642733676,28.4198429674437,5
"No_effect.Constant",737.160374195144,93.2995744289118,3
"No_effect.Linear_Negative",739.484465557215,95.6236657909824,4
"No_effect.Linear_Positive",739.511438021404,95.650638255172,4
"No_effect.Quadratic",741.87746693927,98.0166671730381,5
