"","AICc","dAICc","df"
"Negative_Exponential.Quadratic",447.620138902462,0,7
"HOF_(Sigmoid).Quadratic",449.085130144071,1.46499124160846,8
"Asymetric_Bell-Shaped.Quadratic",453.828264932184,6.20812602972137,9
"Linear.Quadratic",457.894571874459,10.274432971996,6
"Positive_Exponential.Quadratic",460.697334439645,13.0771955371823,7
"HOF_(Sigmoid).Linear_Positive",468.74825538838,21.1281164859175,7
"Negative_Exponential.Linear_Positive",470.968791297824,23.3486523953619,6
"Asymetric_Bell-Shaped.Linear_Positive",471.568439700013,23.9483007975509,8
"Linear.Linear_Positive",473.478579387432,25.8584404849698,5
"Positive_Exponential.Linear_Positive",476.091537090209,28.4713981877461,6
"Negative_Exponential.Constant",481.450674577001,33.8305356745386,5
"Linear.Constant",482.88779228961,35.2676533871473,4
"HOF_(Sigmoid).Constant",483.086381595398,35.4662426929357,6
"Negative_Exponential.Linear_Negative",484.012993416015,36.3928545135524,6
"Linear.Linear_Negative",485.34107628424,37.7209373817772,5
"Positive_Exponential.Constant",485.364835959098,37.7446970566352,5
"HOF_(Sigmoid).Linear_Negative",485.765169472568,38.1450305701057,7
"Asymetric_Bell-Shaped.Constant",485.781367419621,38.1612285171586,7
"Positive_Exponential.Linear_Negative",487.927154798007,40.3070158955444,6
"Asymetric_Bell-Shaped.Linear_Negative",488.584750081849,40.9646111793863,8
"No_effect.Constant",530.778578692029,83.1584397895668,3
"No_effect.Linear_Positive",533.055296470298,85.435157567836,4
"No_effect.Linear_Negative",533.1296425191,85.5095036166371,4
"No_effect.Quadratic",535.319719805311,87.6995809028485,5
