"","AICc","dAICc","df"
"Negative_Exponential.Quadratic",364.470386856608,0,7
"HOF_(Sigmoid).Quadratic",367.18224119308,2.71185433647105,8
"Asymetric_Bell-Shaped.Quadratic",368.205477218649,3.73509036204092,9
"Linear.Quadratic",371.205740829912,6.73535397330386,6
"Positive_Exponential.Quadratic",373.97408359884,9.50369674223163,7
"Negative_Exponential.Linear_Positive",383.440442682195,18.9700558255869,6
"Linear.Linear_Positive",384.668819489218,20.19843263261,5
"HOF_(Sigmoid).Linear_Positive",385.090442216007,20.6200553593982,7
"Positive_Exponential.Linear_Positive",387.272746912014,22.8023600554056,6
"Asymetric_Bell-Shaped.Linear_Positive",387.46456741803,22.9941805614211,8
"Negative_Exponential.Constant",394.210397687176,29.7400108305674,5
"Linear.Constant",395.031819707087,30.5614328504785,4
"HOF_(Sigmoid).Constant",396.240889518334,31.7705026617256,6
"Negative_Exponential.Linear_Negative",396.772716527589,32.3023296709803,6
"Linear.Linear_Negative",397.485103703218,33.0147168466098,5
"Positive_Exponential.Constant",397.505959700715,33.0355728441065,5
"Asymetric_Bell-Shaped.Constant",398.812575044645,34.3421881880369,7
"HOF_(Sigmoid).Linear_Negative",398.919677396952,34.4492905403438,7
"Positive_Exponential.Linear_Negative",400.068278541172,35.5978916845636,6
"Asymetric_Bell-Shaped.Linear_Negative",401.615957708322,37.145570851714,8
"No_effect.Constant",436.776546024574,72.3061591679659,3
"No_effect.Linear_Positive",438.949748221516,74.4793613649074,4
"No_effect.Linear_Negative",439.12760985398,74.6572229973712,4
"No_effect.Quadratic",440.847020820594,76.3766339639857,5
