"","AICc","dAICc","df"
"Negative_Exponential.Quadratic",444.271162380443,0,7
"Linear.Quadratic",448.066903091797,3.79574071135374,6
"HOF_(Sigmoid).Quadratic",449.044830484205,4.77366810376242,8
"Positive_Exponential.Quadratic",450.75845449525,6.48729211480719,7
"Asymetric_Bell-Shaped.Quadratic",458.045892739324,13.7747303588815,9
"HOF_(Sigmoid).Linear_Positive",458.309909603901,14.0387472234586,7
"Linear.Linear_Positive",465.095864438063,20.8247020576202,5
"Negative_Exponential.Linear_Positive",465.542346937249,21.271184556806,6
"Positive_Exponential.Linear_Positive",467.749198625912,23.4780362454694,6
"Asymetric_Bell-Shaped.Linear_Positive",471.168287680528,26.8971253000853,8
"HOF_(Sigmoid).Constant",471.197811443694,26.9266490632515,6
"Linear.Constant",473.682360718964,29.4111983385208,4
"HOF_(Sigmoid).Linear_Negative",473.876599321268,29.6054369408248,7
"Negative_Exponential.Constant",473.916189962725,29.6450275822822,5
"Linear.Linear_Negative",476.135644713811,31.8644823333678,5
"Positive_Exponential.Constant",476.154341041714,31.8831786612708,5
"Negative_Exponential.Linear_Negative",476.478508801917,32.2073464214747,6
"Positive_Exponential.Linear_Negative",478.716659880872,34.4454975004294,6
"Asymetric_Bell-Shaped.Constant",480.072928511298,35.8017661308552,7
"Asymetric_Bell-Shaped.Linear_Negative",482.876311174337,38.6051487938943,8
"No_effect.Constant",502.679112249016,58.4079498685732,3
"No_effect.Linear_Positive",504.490048917552,60.2188865371087,4
"No_effect.Linear_Negative",505.030176076613,60.75901369617,4
"No_effect.Quadratic",506.915531687114,62.6443693066713,5
