"","AICc","dAICc","df"
"Negative_Exponential.Linear_Negative",181.720438840375,0,6
"Negative_Exponential.Constant",181.732388177798,0.0119493374233457,5
"Negative_Exponential.Quadratic",181.952282981328,0.231844140953854,7
"Negative_Exponential.Linear_Positive",184.294707018106,2.57426817773165,6
"Linear.Linear_Negative",184.785055334318,3.06461649394342,5
"Linear.Constant",185.388028351954,3.66758951157962,4
"Linear.Quadratic",186.30296341235,4.58252457197554,6
"Positive_Exponential.Linear_Negative",187.356419155199,5.63598031482462,6
"Linear.Linear_Positive",187.841312347875,6.12087350749988,5
"Positive_Exponential.Constant",187.853743631474,6.13330479109916,5
"Asymetric_Bell-Shaped.Constant",188.287095457904,6.56665661752945,7
"Asymetric_Bell-Shaped.Linear_Negative",188.829582490499,7.10914365012425,8
"Positive_Exponential.Quadratic",188.990170976694,7.26973213631911,7
"Asymetric_Bell-Shaped.Quadratic",189.725921889566,8.00548304919096,9
"Positive_Exponential.Linear_Positive",190.416062471674,8.69562363129918,6
"Asymetric_Bell-Shaped.Linear_Positive",191.090478121452,9.37003928107711,8
"HOF_(Sigmoid).Linear_Negative",202.399122412812,20.6786835724371,7
"HOF_(Sigmoid).Constant",203.168400814177,21.447961973802,6
"HOF_(Sigmoid).Quadratic",203.727740827598,22.0073019872237,8
"HOF_(Sigmoid).Linear_Positive",205.847188693095,24.1267498527205,7
"No_effect.Constant",241.333886214305,59.6134473739299,3
"No_effect.Linear_Negative",242.682816871042,60.962378030667,4
"No_effect.Linear_Positive",243.684950044147,61.9645112037722,4
"No_effect.Quadratic",246.109636908369,64.3891980679946,5
