"","AICc","dAICc","df"
"Linear.Quadratic",193.911737209354,0,6
"Negative_Exponential.Quadratic",195.026499175613,1.11476196625901,7
"Positive_Exponential.Quadratic",196.653350100896,2.74161289154256,7
"HOF_(Sigmoid).Quadratic",200.157857723896,6.24612051454238,8
"Asymetric_Bell-Shaped.Quadratic",201.99231256995,8.08057536059633,9
"Linear.Linear_Positive",202.431895559199,8.52015834984525,5
"Negative_Exponential.Linear_Positive",203.724743344715,9.81300613536146,6
"Positive_Exponential.Linear_Positive",205.032716920227,11.1209797108728,6
"HOF_(Sigmoid).Linear_Positive",207.182678990054,13.2709417807006,7
"Asymetric_Bell-Shaped.Linear_Positive",209.434503160632,15.5227659512785,8
"Linear.Constant",212.30146240226,18.3897251929062,4
"Negative_Exponential.Constant",214.231385438449,20.3196482290954,5
"Linear.Linear_Negative",214.754746398373,20.8430091890191,5
"Positive_Exponential.Constant",214.771119498948,20.8593822895938,5
"Negative_Exponential.Linear_Negative",216.793704278835,22.8819670694815,6
"Positive_Exponential.Linear_Negative",217.333438339363,23.4217011300091,6
"HOF_(Sigmoid).Constant",217.809637024862,23.8978998155085,6
"HOF_(Sigmoid).Linear_Negative",220.488424903452,26.5766876940985,7
"Asymetric_Bell-Shaped.Constant",221.018223142397,27.1064859330435,7
"Asymetric_Bell-Shaped.Linear_Negative",223.821605806039,29.9098685966856,8
"No_effect.Constant",256.841645702153,62.9299084927997,3
"No_effect.Quadratic",257.415742925839,63.5040057164852,5
"No_effect.Linear_Positive",258.174992200255,64.2632549909014,4
"No_effect.Linear_Negative",259.1927095317,65.2809723223467,4
