"","AICc","dAICc","df"
"Negative_Exponential.Linear_Negative",29.1390146150989,0,6
"Negative_Exponential.Quadratic",31.7648442351359,2.62582962003701,7
"Asymetric_Bell-Shaped.Linear_Negative",34.9922561523481,5.8532415372492,8
"Negative_Exponential.Constant",35.2996243065434,6.16060969144451,5
"Negative_Exponential.Linear_Positive",37.8619431430355,8.72292852793666,6
"Asymetric_Bell-Shaped.Quadratic",37.877044921047,8.73803030594814,9
"Linear.Linear_Negative",40.741769622542,11.6027550074432,5
"Asymetric_Bell-Shaped.Constant",40.745086470182,11.6060718550832,7
"Linear.Quadratic",43.1660754071747,14.0270607920759,6
"Positive_Exponential.Linear_Negative",43.2080408624556,14.0690262473567,6
"Asymetric_Bell-Shaped.Linear_Positive",43.5484691298957,14.4094545147969,8
"Linear.Constant",44.9376716909136,15.7986570758148,4
"Positive_Exponential.Quadratic",45.7721332229888,16.6331186078899,7
"HOF_(Sigmoid).Linear_Negative",47.1298065237091,17.9907919086103,7
"Linear.Linear_Positive",47.3909556870322,18.2519410719333,5
"Positive_Exponential.Constant",47.4094671604596,18.2704525453608,5
"HOF_(Sigmoid).Constant",48.1029319291695,18.9639173140706,6
"HOF_(Sigmoid).Quadratic",49.8228009434364,20.6837863283375,8
"Positive_Exponential.Linear_Positive",49.971786000847,20.8327713857481,6
"HOF_(Sigmoid).Linear_Positive",50.7817198065109,21.6427051914121,7
"No_effect.Quadratic",78.1314135865067,48.9923989714079,5
"No_effect.Linear_Negative",80.7424296113835,51.6034149962846,4
"No_effect.Constant",83.2835069354705,54.1444923203717,3
"No_effect.Linear_Positive",85.6345707637311,56.4955561486323,4
