"","AICc","dAICc","df"
"Linear.Constant",540.487079846032,0,4
"Linear.Linear_Negative",541.148724542855,0.661644696823373,5
"Linear.Quadratic",541.686918307012,1.19983846097989,6
"Negative_Exponential.Constant",542.199649563572,1.71256971754065,5
"Linear.Linear_Positive",542.950847958849,2.46376811281732,5
"Positive_Exponential.Constant",542.959658331631,2.47257848559968,5
"Negative_Exponential.Linear_Negative",543.13124712015,2.64416727411833,6
"Negative_Exponential.Quadratic",543.543348763483,3.05626891745101,7
"Positive_Exponential.Linear_Negative",543.731101978142,3.24402213210988,6
"Positive_Exponential.Quadratic",544.39041943845,3.90333959241832,7
"Negative_Exponential.Linear_Positive",544.775407136145,4.28832729011322,6
"HOF_(Sigmoid).Constant",545.19628582285,4.70920597681788,6
"Positive_Exponential.Linear_Positive",545.535415904264,5.04833605823217,6
"HOF_(Sigmoid).Linear_Negative",546.179520021782,5.69244017575045,7
"HOF_(Sigmoid).Quadratic",547.034005316572,6.5469254705406,8
"Asymetric_Bell-Shaped.Constant",547.642802255301,7.15572240926906,7
"HOF_(Sigmoid).Linear_Positive",547.891846073399,7.40476622736719,7
"No_effect.Constant",548.711868430877,8.22478858484487,3
"Asymetric_Bell-Shaped.Linear_Negative",548.874234566122,8.38715472009062,8
"Asymetric_Bell-Shaped.Quadratic",549.650847081621,9.16376723558938,9
"No_effect.Linear_Negative",549.687548130895,9.20046828486284,4
"Asymetric_Bell-Shaped.Linear_Positive",550.46672251795,9.97964267191867,8
"No_effect.Linear_Positive",551.070795347068,10.5837155010366,4
"No_effect.Quadratic",552.145123200909,11.6580433548775,5
